id,search_type,query,results_count,ip_hash,created_at
1,ifsc,SBIN0001234,1,Ojox,2026-03-17 13:50:03.757000
2,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-18 14:08:54.600000
3,ifsc,ICIC0004921,1,OjpmZmZmOjEwMC42,2026-03-18 16:25:09.282000
4,ifsc,SBIN0001234,1,OjpmZmZmOjEwMC42,2026-03-19 15:15:32.363000
5,ifsc,TGRB0000180,1,OjpmZmZmOjEwMC42,2026-03-19 15:18:25.098000
6,ifsc,SBIN0001234,1,OjpmZmZmOjEwMC42,2026-03-21 08:15:17.848000
7,ifsc,HDFC0005458,1,OjpmZmZmOjEwMC42,2026-03-21 08:16:13.744000
8,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-21 09:06:27.845000
9,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-23 18:01:55.208000
10,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-24 10:39:47.620000
11,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-24 15:38:07.298000
12,ifsc,SBIN0001234,1,Ojox,2026-03-24 17:25:14.709000
13,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-24 17:28:35.688000
14,ifsc,SBIN0001234,1,OjpmZmZmOjEwMC42,2026-03-25 17:36:01.848000
15,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-25 18:02:30.695000
16,ifsc,ICIC0004921,1,OjpmZmZmOjEwMC42,2026-03-25 18:09:04.325000
17,ifsc,ICIC0006312,1,OjpmZmZmOjEwMC42,2026-03-27 12:27:57.943000
18,ifsc,SBIN0061224,1,OjpmZmZmOjEwMC42,2026-03-27 13:18:05.129000
19,ifsc,SBIN0065335,1,OjpmZmZmOjEwMC42,2026-03-27 13:31:20.266000
20,ifsc,SBIN0018993,1,OjpmZmZmOjEwMC42,2026-03-27 13:32:59.752000
21,ifsc,BOFA0MM6205,1,OjpmZmZmOjEwMC42,2026-03-27 13:34:38.097000
22,ifsc,ANZB00000SC,1,OjpmZmZmOjEwMC42,2026-03-27 13:35:50.281000
23,ifsc,APBL0007004,1,OjpmZmZmOjEwMC42,2026-03-27 13:38:19.771000
24,ifsc,BDBL0001584,1,OjpmZmZmOjEwMC42,2026-03-27 13:38:43.152000
25,ifsc,CORP0000920,1,OjpmZmZmOjEwMC42,2026-03-27 13:39:25.320000
26,ifsc,BARB0DILSUK,1,OjpmZmZmOjEwMC42,2026-03-27 13:40:38.971000
27,ifsc,DCBL0000061,1,OjpmZmZmOjEwMC42,2026-03-27 13:41:38.981000
28,ifsc,UTIB0000374,1,OjpmZmZmOjEwMC42,2026-03-27 14:07:52.666000
29,ifsc,ICIC0002799,1,OjpmZmZmOjEwMC42,2026-03-27 15:12:11.561000
30,ifsc,HDFC0003949,1,Ojox,2026-03-27 15:54:56.482000
31,ifsc,ICIC0005768,1,Ojox,2026-03-27 16:03:31.737000
32,ifsc,SBIN0001234,1,OjpmZmZmOjEwMC42,2026-03-27 16:16:59.617000
33,ifsc,HDFC0003949,1,Ojox,2026-03-27 17:05:19.569000
34,ifsc,ICIC0002799,1,Ojox,2026-03-27 17:09:48.071000
35,ifsc,ICIC0005768,1,OjpmZmZmOjEwMC42,2026-03-27 17:21:57.221000
36,ifsc,HDFC0003949,1,Ojox,2026-03-27 18:08:34.968000
37,ifsc,ICIC0005768,1,OjpmZmZmOjEwMC42,2026-03-27 18:27:14.679000
38,ifsc,HDFC0004125,1,Ojox,2026-03-27 18:31:42.542000
39,ifsc,HDFC0003949,1,Ojox,2026-03-27 19:22:32.713000
40,ifsc,ICIC0005768,1,OjpmZmZmOjEwMC42,2026-03-28 04:56:01.646000
41,ifsc,HDFC0003949,1,Ojox,2026-03-28 05:11:24.356000
42,ifsc,APMC0000035,1,OjpmZmZmOjEwMC42,2026-03-28 07:03:40.563000
43,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-28 07:16:50.795000
44,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-29 05:54:30.430000
45,ifsc,HDFC0003949,1,Ojox,2026-03-29 13:42:25.403000
46,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-30 11:43:23.651000
47,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-30 13:46:44.501000
48,ifsc,BDBL0001584,1,OjpmZmZmOjEwMC42,2026-03-30 14:19:32.523000
49,ifsc,KKBK0007813,1,OjpmZmZmOjEwMC42,2026-03-30 14:20:15.936000
50,ifsc,BOFA0MUM000,1,OjpmZmZmOjEwMC42,2026-03-30 14:21:15.749000
51,ifsc,CHAS0000001,1,OjpmZmZmOjEwMC42,2026-03-30 14:21:53.948000
52,ifsc,CBIN0284457,1,OjpmZmZmOjEwMC42,2026-03-30 14:22:18.867000
53,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-30 14:47:56.432000
54,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-30 16:04:48.322000
55,ifsc,HDFC0003949,1,OjpmZmZmOjEwMC42,2026-03-30 17:08:12.808000
56,ifsc,APBL0008002,1,OjpmZmZmOjEwMC42,2026-04-02 07:46:44.209000
57,ifsc,APMC0000018,1,OjpmZmZmOjEwMC42,2026-04-02 07:47:43.964000
58,ifsc,APMC0000028,1,OjpmZmZmOjEwMC42,2026-04-02 07:47:53.780000
59,ifsc,HDFC0003297,1,Ojox,2026-04-02 16:15:38.693000
60,ifsc,APMC0000033,1,Ojox,2026-04-02 16:26:30.503000
61,ifsc,HDFC0003949,1,Ojox,2026-04-02 16:28:11.861000
62,ifsc,APMC0000018,1,Ojox,2026-04-02 16:51:16.844000
63,ifsc,AIRP00000SC,1,Ojox,2026-04-02 17:10:38.537000
64,ifsc,ANZB00000SC,1,Ojox,2026-04-02 17:14:08.574000
65,ifsc,ICIC0006312,1,Ojox,2026-04-02 17:15:16.665000
66,ifsc,ICIC0004166,1,Ojox,2026-04-02 17:33:30.039000
67,ifsc,ICIC0000441,1,Ojox,2026-04-02 17:37:33.096000
68,ifsc,ICIC0005347,1,Ojox,2026-04-02 17:38:16.873000
69,ifsc,ICIC0000535,1,Ojox,2026-04-02 17:38:45.884000
70,ifsc,ICIC00ASHSB,1,Ojox,2026-04-02 17:41:40.344000
71,ifsc,SBIN0065335,1,Ojox,2026-04-02 17:50:31.485000
72,ifsc,SBIN0061224,1,Ojox,2026-04-02 17:52:01.671000
73,ifsc,UTIB0006036,1,Ojox,2026-04-02 18:02:55.920000
74,ifsc,APMC0000001,1,Ojox,2026-04-02 18:26:08.468000
